2002-11-13 06:00:00,2.268,0.21
2002-11-13 18:15:00,2.69,0.71
2002-11-14 07:30:00,2.434,1.27
2002-11-14 19:30:00,3.116,0.85
2002-11-15 08:15:00,2.69,0.63
2002-11-15 20:15:00,3.173,0.29
2002-11-16 09:00:00,2.972,0.71
2002-11-16 21:00:00,3.444,0.63
2002-11-17 09:30:00,3.337,0.29
2002-11-17 21:30:00,3.683,0.21
2002-11-18 10:00:00,3.641,0.63
2002-11-18 22:15:00,3.794,0.76
2002-11-19 10:30:00,3.746,0.76
2002-11-19 22:45:00,3.814,0.99
2002-11-20 11:00:00,3.905,0.99
2002-11-20 23:15:00,4.19,0.71
2002-11-21 11:30:00,4.063,0.8
2002-11-21 23:45:00,4.267,0.9
2002-11-22 12:00:00,3.969,1.05
2002-11-23 00:15:00,3.939,0.56
2002-11-23 12:30:00,4.005,1.05
2002-11-24 01:00:00,3.758,0.8
2002-11-24 13:15:00,3.792,0.8
2002-11-25 01:45:00,3.414,0.71
2002-11-25 14:00:00,3.481,0.71
2002-11-26 02:30:00,3.072,1.05
2002-11-26 15:00:00,3.231,0.85
2002-11-27 03:45:00,2.875,1.33
2002-11-27 16:00:00,3.015,1.39
2002-11-29 18:30:00,3.009,0.56
2002-11-30 07:30:00,3.051,0.67
2002-12-01 08:30:00,3.891,1.81
2002-12-03 09:45:00,4.333,0.99
2002-12-03 22:15:00,4.57,0.56
2002-12-04 23:00:00,4.532,2.05
2002-12-05 11:15:00,4.403,1.1
2002-12-05 23:45:00,4.24,0.38
2002-12-06 12:00:00,4.245,0.38
2002-12-07 00:30:00,3.942,0.42
2002-12-07 12:45:00,3.993,0.8
2002-12-08 01:30:00,3.542,0.71
2002-12-08 13:45:00,3.603,0.85
2002-12-09 02:00:00,2.951,0.85
2002-12-09 14:30:00,3.104,1.15
2002-12-10 15:15:00,2.602,1.53
2002-12-11 03:45:00,2.035,0.8
2002-12-11 16:15:00,2.521,0.94
2002-12-12 05:00:00,1.919,0.8
2002-12-15 20:15:00,2.778,0.76
2002-12-16 09:00:00,2.813,0.56
2002-12-16 21:00:00,3.02,0.63
2003-01-07 01:45:00,3.468,0.76
2003-01-07 14:00:00,3.849,1.1
2003-01-08 02:30:00,3.324,0.38
2003-01-08 14:30:00,3.677,0.8
2003-01-09 03:00:00,2.617,0.94
2003-01-09 15:30:00,2.902,0.94
2003-01-10 03:45:00,2.24,1.1
2003-01-11 04:45:00,1.971,0.16
2003-01-11 17:00:00,2.363,0.48
2003-01-12 18:00:00,2.444,1.66
2003-01-13 07:00:00,2.092,1.81
2003-01-13 19:30:00,2.429,1.59
2003-01-14 08:15:00,2.414,1.89
2003-01-14 20:30:00,2.784,2.14
2003-01-15 09:00:00,3.216,2.14
2003-01-15 21:30:00,3.049,1.81
2003-01-16 09:45:00,3.166,1.21
2003-01-16 22:00:00,3.427,1.66
2003-01-17 10:15:00,3.919,1.81
2003-01-17 22:45:00,3.807,1.81
2003-01-18 11:00:00,3.823,0.71
2003-01-19 11:30:00,4.322,0.35
2003-01-20 00:00:00,4.105,0.63
2003-01-20 12:15:00,4.661,0.99
2003-01-21 00:30:00,4.559,0.94
2003-01-21 13:00:00,4.654,0.38
2003-02-06 14:00:00,3.906,0.63
2003-02-07 02:15:00,3.23,0.42
2003-02-07 14:45:00,3.443,0.56
2003-02-08 03:00:00,2.893,0.63
2003-02-08 15:15:00,3.191,0.99
2003-02-09 03:45:00,2.597,0.76
2003-02-09 16:00:00,2.447,1.21
2003-02-10 04:30:00,1.975,0.67
2003-02-10 17:00:00,2.437,0.94
2003-02-11 05:30:00,1.781,0.35
2003-02-11 18:15:00,1.798,0.35
